Dataset , TrainingReleases , %DataTraining , %DefectiveTraining , %DefectiveTesting , Classifier , Balancing , FeatureSelection , TP , FP , TN , FN , Precision , Recall  , AUC , Kappa 
OpenJPABugginess.arff,5,15,2,2,NaiveBayes,OverSampling,BestFirst,20.0,97.0,2019.0,29.0,0.17094017094017094,0.40816326530612246,0.7771787353882952,0.21594946022694692
OpenJPABugginess.arff,5,15,2,2,RandomForest,OverSampling,BestFirst,39.0,19.0,2097.0,10.0,0.6724137931034483,0.7959183673469388,0.9416448053701632,0.7221546127600434
OpenJPABugginess.arff,5,15,2,2,IBk,OverSampling,BestFirst,34.0,28.0,2088.0,15.0,0.5483870967741935,0.6938775510204082,0.8797500096446896,0.602564047831487
OpenJPABugginess.arff,5,15,2,2,NaiveBayes,Smote,BestFirst,19.0,113.0,2003.0,30.0,0.14393939393939395,0.3877551020408163,0.7722840553990973,0.18297359135880437
OpenJPABugginess.arff,5,15,2,2,RandomForest,Smote,BestFirst,32.0,6.0,2110.0,17.0,0.8421052631578947,0.6530612244897959,0.9331478338027083,0.730299895467176
OpenJPABugginess.arff,5,15,2,2,IBk,Smote,BestFirst,30.0,13.0,2103.0,19.0,0.6976744186046512,0.6122448979591837,0.9098462636472359,0.6446559913010473
OpenJPABugginess.arff,6,21,2,3,NaiveBayes,None,None,25.0,57.0,2040.0,53.0,0.3048780487804878,0.32051282051282054,0.7929948766858638,0.2862640509773032
OpenJPABugginess.arff,6,21,2,3,RandomForest,None,None,46.0,3.0,2094.0,32.0,0.9387755102040817,0.5897435897435898,0.8852389860973552,0.7165659521708544
OpenJPABugginess.arff,6,21,2,3,IBk,None,None,46.0,4.0,2093.0,32.0,0.92,0.5897435897435898,0.7942115109497083,0.7106430155210641
OpenJPABugginess.arff,6,21,2,3,NaiveBayes,UnderSampling,None,33.0,79.0,2018.0,45.0,0.29464285714285715,0.4230769230769231,0.7630161525011311,0.3185573730727838
OpenJPABugginess.arff,6,21,2,3,RandomForest,UnderSampling,None,66.0,213.0,1884.0,12.0,0.23655913978494625,0.8461538461538461,0.9483266693567123,0.3323223516988178
OpenJPABugginess.arff,6,21,2,3,IBk,UnderSampling,None,70.0,479.0,1618.0,8.0,0.12750455373406194,0.8974358974358975,0.8350023843586075,0.1712379731801036
OpenJPABugginess.arff,6,21,2,3,NaiveBayes,OverSampling,None,33.0,71.0,2026.0,45.0,0.3173076923076923,0.4230769230769231,0.8424917158822738,0.3353985238102761
OpenJPABugginess.arff,6,21,2,3,RandomForest,OverSampling,None,50.0,22.0,2075.0,28.0,0.6944444444444444,0.6410256410256411,0.8603713485687735,0.6547816315258178
OpenJPABugginess.arff,6,21,2,3,IBk,OverSampling,None,50.0,10.0,2087.0,28.0,0.8333333333333334,0.6410256410256411,0.8650789283836494,0.7157742700918188
OpenJPABugginess.arff,6,21,2,3,NaiveBayes,Smote,None,26.0,71.0,2026.0,52.0,0.26804123711340205,0.3333333333333333,0.7930193316459411,0.26804343722041096
OpenJPABugginess.arff,6,21,2,3,RandomForest,Smote,None,47.0,3.0,2094.0,31.0,0.94,0.6025641025641025,0.8835057408018782,0.7267184035476715
OpenJPABugginess.arff,6,21,2,3,IBk,Smote,None,46.0,4.0,2093.0,32.0,0.92,0.5897435897435898,0.7942115109497083,0.7106430155210641
OpenJPABugginess.arff,6,21,2,3,NaiveBayes,None,BestFirst,25.0,61.0,2036.0,53.0,0.29069767441860467,0.32051282051282054,0.8027738038467652,0.2777117488726531
OpenJPABugginess.arff,6,21,2,3,RandomForest,None,BestFirst,38.0,3.0,2094.0,40.0,0.926829268292683,0.48717948717948717,0.9005783598058276,0.6294997801361962
OpenJPABugginess.arff,6,21,2,3,IBk,None,BestFirst,36.0,14.0,2083.0,42.0,0.72,0.46153846153846156,0.8927711138011567,0.5498891352549896
OpenJPABugginess.arff,6,21,2,3,NaiveBayes,UnderSampling,BestFirst,34.0,84.0,2013.0,44.0,0.288135593220339,0.4358974358974359,0.793065184696086,0.31746638816157224
OpenJPABugginess.arff,6,21,2,3,RandomForest,UnderSampling,BestFirst,65.0,282.0,1815.0,13.0,0.1873198847262248,0.8333333333333334,0.939067410097453,0.26270593385985297
OpenJPABugginess.arff,6,21,2,3,IBk,UnderSampling,BestFirst,64.0,370.0,1727.0,14.0,0.14746543778801843,0.8205128205128205,0.8367356296540845,0.20145023979439608
OpenJPABugginess.arff,6,21,2,3,NaiveBayes,OverSampling,BestFirst,32.0,81.0,2016.0,46.0,0.2831858407079646,0.41025641025641024,0.8017344680434809,0.3056131645035028
OpenJPABugginess.arff,6,21,2,3,RandomForest,OverSampling,BestFirst,44.0,14.0,2083.0,34.0,0.7586206896551724,0.5641025641025641,0.8994656591223115,0.6359223300970875
OpenJPABugginess.arff,6,21,2,3,IBk,OverSampling,BestFirst,40.0,25.0,2072.0,38.0,0.6153846153846154,0.5128205128205128,0.8339875035154005,0.5445934493244927
OpenJPABugginess.arff,6,21,2,3,NaiveBayes,Smote,BestFirst,26.0,107.0,1990.0,52.0,0.19548872180451127,0.3333333333333333,0.7994326449262071,0.21076414325717704
OpenJPABugginess.arff,6,21,2,3,RandomForest,Smote,BestFirst,39.0,4.0,2093.0,39.0,0.9069767441860465,0.5,0.9044422434980375,0.6353332007626703
OpenJPABugginess.arff,6,21,2,3,IBk,Smote,BestFirst,36.0,15.0,2082.0,42.0,0.7058823529411765,0.46153846153846156,0.8925571329004806,0.545244462051434
OpenJPABugginess.arff,7,26,2,2,NaiveBayes,None,None,28.0,113.0,2079.0,22.0,0.19858156028368795,0.56,0.9040921532846715,0.2691284210933008
OpenJPABugginess.arff,7,26,2,2,RandomForest,None,None,33.0,38.0,2154.0,17.0,0.4647887323943662,0.66,0.9192472627737226,0.5332384492508949
OpenJPABugginess.arff,7,26,2,2,IBk,None,None,36.0,47.0,2145.0,14.0,0.43373493975903615,0.72,0.849470802919708,0.5282214387724825
OpenJPABugginess.arff,7,26,2,2,NaiveBayes,UnderSampling,None,30.0,151.0,2041.0,20.0,0.16574585635359115,0.6,0.8775684306569344,0.23293224116750214
OpenJPABugginess.arff,7,26,2,2,RandomForest,UnderSampling,None,45.0,294.0,1898.0,5.0,0.13274336283185842,0.9,0.9282618613138686,0.20027724822782986
OpenJPABugginess.arff,7,26,2,2,IBk,UnderSampling,None,43.0,434.0,1758.0,7.0,0.09014675052410902,0.86,0.8336815693430657,0.12798346142380643
OpenJPABugginess.arff,7,26,2,2,NaiveBayes,OverSampling,None,31.0,123.0,2069.0,19.0,0.2012987012987013,0.62,0.9198540145985401,0.27966730623031555
OpenJPABugginess.arff,7,26,2,2,RandomForest,OverSampling,None,37.0,52.0,2140.0,13.0,0.4157303370786517,0.74,0.9004470802919708,0.5186266672832615
OpenJPABugginess.arff,7,26,2,2,IBk,OverSampling,None,36.0,53.0,2139.0,14.0,0.4044943820224719,0.72,0.854470802919708,0.5038151801227458
OpenJPABugginess.arff,7,26,2,2,NaiveBayes,Smote,None,32.0,130.0,2062.0,18.0,0.19753086419753085,0.64,0.907066605839416,0.2772530842684886
OpenJPABugginess.arff,7,26,2,2,RandomForest,Smote,None,35.0,39.0,2153.0,15.0,0.47297297297297297,0.7,0.9231386861313868,0.5526074617158394
OpenJPABugginess.arff,7,26,2,2,IBk,Smote,None,36.0,47.0,2145.0,14.0,0.43373493975903615,0.72,0.849470802919708,0.5282214387724825
OpenJPABugginess.arff,7,26,2,2,NaiveBayes,None,BestFirst,24.0,110.0,2082.0,26.0,0.1791044776119403,0.48,0.8693886861313869,0.23605459902587658
OpenJPABugginess.arff,7,26,2,2,RandomForest,None,BestFirst,11.0,14.0,2178.0,39.0,0.44,0.22,0.8735675182481751,0.2826682764865681
OpenJPABugginess.arff,7,26,2,2,IBk,None,BestFirst,16.0,56.0,2136.0,34.0,0.2222222222222222,0.32,0.8253284671532847,0.2423514215767268
