Release ; Filename ; Size ; LocTouched ; NR  ; NFix ; NAuth  ; LocAdded ; MaxLocAdded ; AvgLocAdded ; Churn ; MaxChurn ; AvgChurn ; ChgSetSize ; MaxChgSetSize ; AvgChgSetSize ; Bugginess
1;src\main\java\org\apache\hedwig\client\ssl\SslClientContextFactory.java;35;41;1;0;1;41;41;0.0;41;41;0.0;278;278;278.0;no
1;src\main\java\org\apache\hedwig\client\ssl\SslContextFactory.java;54;92;2;0;2;79;65;1.0;66;65;1.0;284;278;225.0;no
1;src\main\java\org\apache\hedwig\conf\AbstractConfiguration.java;47;56;3;0;3;55;45;1.0;54;45;1.0;297;278;165.0;no
1;src\main\java\org\apache\hedwig\util\Callback.java;42;55;2;0;2;51;47;0.0;47;47;0.0;284;278;225.0;no
1;src\main\java\org\apache\hedwig\util\CallbackUtils.java;156;223;4;0;3;203;185;2.0;183;185;2.0;292;278;139.0;no
1;src\main\java\org\apache\hedwig\util\ConcurrencyUtils.java;43;49;1;0;1;49;49;0.0;49;49;0.0;278;278;278.0;no
1;src\main\java\org\apache\hedwig\util\Either.java;41;50;1;0;1;50;50;0.0;50;50;0.0;278;278;278.0;no
1;src\main\java\org\apache\hedwig\util\FileUtils.java;78;102;2;0;2;100;97;1.0;98;97;1.0;285;278;187.0;no
1;src\main\java\org\apache\hedwig\util\HedwigSocketAddress.java;120;138;1;0;1;138;138;1.0;138;138;1.0;278;278;278.0;yes
1;src\main\java\org\apache\hedwig\util\Option.java;35;43;1;0;1;43;43;0.0;43;43;0.0;278;278;278.0;no
1;src\main\java\org\apache\hedwig\util\Pair.java;35;42;1;0;1;42;42;0.0;42;42;0.0;278;278;278.0;no
1;src\main\java\org\apache\hedwig\util\PathUtils.java;50;56;1;0;1;56;56;1.0;56;56;1.0;278;278;278.0;yes
1;src\test\java\org\apache\hedwig\client\AppTest.java;47;53;2;0;2;52;51;0.0;51;51;0.0;284;278;225.0;no
1;src\test\java\org\apache\hedwig\util\TestFileUtils.java;35;41;1;0;1;41;41;0.0;41;41;0.0;278;278;278.0;no
1;src\test\java\org\apache\hedwig\util\TestHedwigSocketAddress.java;90;118;2;0;2;111;104;1.0;104;104;1.0;284;278;225.0;no
1;src\test\java\org\apache\hedwig\util\TestPathUtils.java;46;54;1;0;1;54;54;1.0;54;54;1.0;278;278;278.0;no
1;src\main\java\org\apache\hedwig\exceptions\PubSubException.java;141;164;2;0;2;163;162;2.0;162;162;2.0;284;278;225.0;yes
1;src\main\java\org\apache\hedwig\protocol\PubSubProtocol.java;5842;18077;2;0;2;12222;6127;116.0;6367;6095;61.0;173;172;88.0;yes
1;src\main\java\org\apache\hedwig\protoextensions\MessageIdUtils.java;123;157;2;0;2;155;153;1.0;153;153;1.0;284;278;225.0;no
1;src\main\java\org\apache\hedwig\protoextensions\PubSubResponseUtils.java;37;43;1;0;1;43;43;0.0;43;43;0.0;278;278;278.0;yes
1;src\main\java\org\apache\hedwig\protoextensions\SubscriptionStateUtils.java;35;43;2;0;2;42;41;0.0;41;41;0.0;284;278;225.0;no
1;src\main\java\org\apache\hedwig\server\benchmark\AbstractBenchmark.java;79;205;3;0;2;155;104;1.0;105;104;1.0;287;278;182.0;yes
1;src\main\java\org\apache\hedwig\server\benchmark\BookieBenchmark.java;84;191;5;0;3;148;103;1.0;105;103;1.0;299;278;123.0;yes
1;src\main\java\org\apache\hedwig\server\benchmark\BookkeeperBenchmark.java;70;160;4;0;3;126;91;1.0;92;91;1.0;287;278;141.0;yes
1;src\main\java\org\apache\hedwig\server\common\ServerConfiguration.java;246;291;2;0;2;290;289;3.0;289;289;3.0;284;278;225.0;yes
1;src\main\java\org\apache\hedwig\server\common\TerminateJVMExceptionHandler.java;28;38;2;0;2;35;31;0.0;32;31;0.0;285;278;187.0;yes
1;src\main\java\org\apache\hedwig\server\common\TopicOpQueuer.java;94;111;1;0;1;111;111;1.0;111;111;1.0;278;278;278.0;no
1;src\main\java\org\apache\hedwig\server\common\UnexpectedError.java;30;37;2;0;2;36;35;0.0;35;35;0.0;284;278;225.0;no
1;src\main\java\org\apache\hedwig\server\delivery\ChannelEndPoint.java;65;81;1;0;1;81;81;1.0;81;81;1.0;278;278;278.0;yes
1;src\main\java\org\apache\hedwig\server\delivery\DeliveryCallback.java;23;27;1;0;1;27;27;0.0;27;27;0.0;278;278;278.0;no
1;src\main\java\org\apache\hedwig\server\delivery\DeliveryEndPoint.java;23;28;1;0;1;28;28;0.0;28;28;0.0;278;278;278.0;no
1;src\main\java\org\apache\hedwig\server\delivery\DeliveryManager.java;26;31;2;0;2;30;29;0.0;29;29;0.0;284;278;225.0;yes
1;src\main\java\org\apache\hedwig\server\delivery\FIFODeliveryManager.java;459;634;4;1;3;600;561;6.0;566;561;5.0;287;278;137.0;yes
1;src\main\java\org\apache\hedwig\server\handlers\BaseHandler.java;54;96;2;0;2;80;64;1.0;64;64;1.0;284;278;225.0;no
1;src\main\java\org\apache\hedwig\server\handlers\ChannelDisconnectListener.java;26;31;2;0;2;30;29;0.0;29;29;0.0;284;278;225.0;no
1;src\main\java\org\apache\hedwig\server\handlers\ConsumeHandler.java;53;66;2;0;2;65;64;1.0;64;64;1.0;284;278;225.0;no
1;src\main\java\org\apache\hedwig\server\handlers\Handler.java;33;43;2;0;2;40;37;0.0;37;37;0.0;284;278;225.0;no
1;src\main\java\org\apache\hedwig\server\handlers\PublishHandler.java;58;90;2;0;2;79;68;1.0;68;68;1.0;284;278;225.0;yes
1;src\main\java\org\apache\hedwig\server\handlers\SubscribeHandler.java;132;176;3;0;2;165;153;2.0;154;153;1.0;287;278;182.0;yes
1;src\main\java\org\apache\hedwig\server\handlers\UnsubscribeHandler.java;62;74;2;0;2;73;72;1.0;72;72;1.0;284;278;225.0;yes
1;src\main\java\org\apache\hedwig\server\netty\PubSubServer.java;335;415;6;1;3;400;364;4.0;385;364;4.0;297;278;102.0;yes
1;src\main\java\org\apache\hedwig\server\netty\PubSubServerPipelineFactory.java;67;80;2;0;2;78;76;1.0;76;76;1.0;284;278;225.0;no
1;src\main\java\org\apache\hedwig\server\persistence\BookkeeperPersistenceManager.java;619;1035;3;0;2;886;736;8.0;737;736;7.0;287;278;182.0;yes
1;src\main\java\org\apache\hedwig\server\persistence\CacheKey.java;64;78;2;0;2;76;74;1.0;74;74;1.0;284;278;225.0;no
1;src\main\java\org\apache\hedwig\server\persistence\CacheValue.java;78;100;3;0;2;97;93;1.0;94;93;1.0;287;278;182.0;no
1;src\main\java\org\apache\hedwig\server\persistence\Factory.java;21;22;1;0;1;22;22;0.0;22;22;0.0;278;278;278.0;no
1;src\main\java\org\apache\hedwig\server\persistence\LocalDBPersistenceManager.java;357;451;3;0;2;439;426;4.0;427;426;4.0;287;278;182.0;yes
1;src\main\java\org\apache\hedwig\server\persistence\MapMethods.java;49;62;1;0;1;62;62;1.0;62;62;1.0;278;278;278.0;no
1;src\main\java\org\apache\hedwig\server\persistence\PersistRequest.java;50;60;2;0;2;59;58;1.0;58;58;1.0;284;278;225.0;no
