Dataset , TrainingReleases , %DataTraining , %DefectiveTraining , %DefectiveTesting , Classifier , Balancing , FeatureSelection , TP , FP , TN , FN , Precision , Recall  , AUC , Kappa 
BookkeeperBugginess.arff,3,31,43,67,NaiveBayes,OverSampling,BestFirst,180.0,27.0,115.0,117.0,0.8695652173913043,0.6060606060606061,0.7660881111585337,0.3568943416956601
BookkeeperBugginess.arff,3,31,43,67,RandomForest,OverSampling,BestFirst,195.0,11.0,131.0,102.0,0.9466019417475728,0.6565656565656566,0.8142101768862332,0.4961352117253919
BookkeeperBugginess.arff,3,31,43,67,IBk,OverSampling,BestFirst,202.0,20.0,122.0,95.0,0.9099099099099099,0.6801346801346801,0.7593066818418931,0.47396663644983494
BookkeeperBugginess.arff,3,31,43,67,NaiveBayes,Smote,BestFirst,174.0,19.0,123.0,123.0,0.9015544041450777,0.5858585858585859,0.8333807559159672,0.37952382848270094
BookkeeperBugginess.arff,3,31,43,67,RandomForest,Smote,BestFirst,237.0,0.0,142.0,60.0,1.0,0.797979797979798,0.9383980651586286,0.7187339825730396
BookkeeperBugginess.arff,3,31,43,67,IBk,Smote,BestFirst,237.0,0.0,142.0,60.0,1.0,0.797979797979798,0.898989898989899,0.7187339825730396
BookkeeperBugginess.arff,4,45,50,74,NaiveBayes,None,None,38.0,7.0,143.0,401.0,0.8444444444444444,0.08656036446469248,0.7804859529233106,0.021395470056929686
BookkeeperBugginess.arff,4,45,50,74,RandomForest,None,None,424.0,19.0,131.0,15.0,0.9571106094808126,0.9658314350797267,0.9378435839028094,0.8465957837970339
BookkeeperBugginess.arff,4,45,50,74,IBk,None,None,278.0,18.0,132.0,161.0,0.9391891891891891,0.6332574031890661,0.756628701594533,0.3906673524941194
BookkeeperBugginess.arff,4,45,50,74,NaiveBayes,UnderSampling,None,43.0,8.0,142.0,396.0,0.8431372549019608,0.0979498861047836,0.7787395596051633,0.024098559664030995
BookkeeperBugginess.arff,4,45,50,74,RandomForest,UnderSampling,None,424.0,18.0,132.0,15.0,0.9592760180995475,0.9658314350797267,0.9421564160971906,0.8514365641695903
BookkeeperBugginess.arff,4,45,50,74,IBk,UnderSampling,None,277.0,17.0,133.0,162.0,0.9421768707482994,0.6309794988610479,0.7588230827638572,0.39269606290141423
BookkeeperBugginess.arff,4,45,50,74,NaiveBayes,OverSampling,None,44.0,7.0,143.0,395.0,0.8627450980392157,0.10022779043280182,0.7542672741078208,0.028929754913218926
BookkeeperBugginess.arff,4,45,50,74,RandomForest,OverSampling,None,396.0,20.0,130.0,43.0,0.9519230769230769,0.9020501138952164,0.919301442672741,0.7317831250406587
BookkeeperBugginess.arff,4,45,50,74,IBk,OverSampling,None,243.0,17.0,133.0,196.0,0.9346153846153846,0.5535307517084282,0.7681928625664389,0.31605344789048745
BookkeeperBugginess.arff,4,45,50,74,NaiveBayes,Smote,None,38.0,8.0,142.0,401.0,0.8260869565217391,0.08656036446469248,0.7936370539104024,0.017841053176612526
BookkeeperBugginess.arff,4,45,50,74,RandomForest,Smote,None,283.0,18.0,132.0,156.0,0.9401993355481728,0.6446469248291572,0.9363857251328778,0.4026995838724341
BookkeeperBugginess.arff,4,45,50,74,IBk,Smote,None,277.0,18.0,132.0,162.0,0.9389830508474576,0.6309794988610479,0.7554897494305239,0.38828498234438824
BookkeeperBugginess.arff,4,45,50,74,NaiveBayes,None,BestFirst,438.0,109.0,41.0,1.0,0.8007312614259597,0.9977220956719818,0.9231966590736522,0.35524639757981064
BookkeeperBugginess.arff,4,45,50,74,RandomForest,None,BestFirst,425.0,23.0,127.0,14.0,0.9486607142857143,0.9681093394077449,0.9331435079726651,0.8311915661624024
BookkeeperBugginess.arff,4,45,50,74,IBk,None,BestFirst,425.0,23.0,127.0,14.0,0.9486607142857143,0.9681093394077449,0.8978511769172361,0.8311915661624024
BookkeeperBugginess.arff,4,45,50,74,NaiveBayes,UnderSampling,BestFirst,438.0,109.0,41.0,1.0,0.8007312614259597,0.9977220956719818,0.9213439635535308,0.35524639757981064
BookkeeperBugginess.arff,4,45,50,74,RandomForest,UnderSampling,BestFirst,424.0,22.0,128.0,15.0,0.9506726457399103,0.9658314350797267,0.9354214123006833,0.8319439838984553
BookkeeperBugginess.arff,4,45,50,74,IBk,UnderSampling,BestFirst,424.0,22.0,128.0,15.0,0.9506726457399103,0.9658314350797267,0.9011237661351557,0.8319439838984553
BookkeeperBugginess.arff,4,45,50,74,NaiveBayes,OverSampling,BestFirst,430.0,94.0,56.0,9.0,0.8206106870229007,0.979498861047836,0.8782536066818527,0.4337331404302982
BookkeeperBugginess.arff,4,45,50,74,RandomForest,OverSampling,BestFirst,397.0,25.0,125.0,42.0,0.9407582938388626,0.9043280182232346,0.8937281700835231,0.7111329082883768
BookkeeperBugginess.arff,4,45,50,74,IBk,OverSampling,BestFirst,397.0,25.0,125.0,42.0,0.9407582938388626,0.9043280182232346,0.8689749430523918,0.7111329082883768
BookkeeperBugginess.arff,4,45,50,74,NaiveBayes,Smote,BestFirst,424.0,47.0,103.0,15.0,0.9002123142250531,0.9658314350797267,0.9123462414578588,0.7017770228334368
BookkeeperBugginess.arff,4,45,50,74,RandomForest,Smote,BestFirst,278.0,18.0,132.0,161.0,0.9391891891891891,0.6332574031890661,0.9360364464692483,0.3906673524941194
BookkeeperBugginess.arff,4,45,50,74,IBk,Smote,BestFirst,425.0,23.0,127.0,14.0,0.9486607142857143,0.9681093394077449,0.8982763857251329,0.8311915661624024
BookkeeperBugginess.arff,5,64,57,66,NaiveBayes,None,None,25.0,16.0,135.0,270.0,0.6097560975609756,0.0847457627118644,0.7472668088449882,-0.015039867585504454
BookkeeperBugginess.arff,5,64,57,66,RandomForest,None,None,265.0,30.0,121.0,30.0,0.8983050847457628,0.8983050847457628,0.9306094960152654,0.6996295880570209
BookkeeperBugginess.arff,5,64,57,66,IBk,None,None,265.0,29.0,122.0,30.0,0.9013605442176871,0.8983050847457628,0.8531260523066562,0.7051124011027186
BookkeeperBugginess.arff,5,64,57,66,NaiveBayes,UnderSampling,None,24.0,16.0,135.0,271.0,0.6,0.08135593220338982,0.7357503647996408,-0.017423098322867894
BookkeeperBugginess.arff,5,64,57,66,RandomForest,UnderSampling,None,257.0,26.0,125.0,38.0,0.9081272084805654,0.8711864406779661,0.9136603434728926,0.6857010724746196
BookkeeperBugginess.arff,5,64,57,66,IBk,UnderSampling,None,258.0,26.0,125.0,37.0,0.9084507042253521,0.8745762711864407,0.8511954203614323,0.6901206520060879
BookkeeperBugginess.arff,5,64,57,66,NaiveBayes,OverSampling,None,33.0,19.0,132.0,262.0,0.6346153846153846,0.11186440677966102,0.7206644965764957,-0.010025628213600654
BookkeeperBugginess.arff,5,64,57,66,RandomForest,OverSampling,None,257.0,33.0,118.0,38.0,0.8862068965517241,0.8711864406779661,0.8879223257380178,0.647411201425231
BookkeeperBugginess.arff,5,64,57,66,IBk,OverSampling,None,256.0,34.0,117.0,39.0,0.8827586206896552,0.8677966101694915,0.8151083174318106,0.6374791225921389
BookkeeperBugginess.arff,5,64,57,66,NaiveBayes,Smote,None,24.0,16.0,135.0,271.0,0.6,0.08135593220338982,0.7454484229430912,-0.017423098322867894
BookkeeperBugginess.arff,5,64,57,66,RandomForest,Smote,None,263.0,29.0,122.0,32.0,0.9006849315068494,0.8915254237288136,0.9307554158715905,0.6960970487701348
BookkeeperBugginess.arff,5,64,57,66,IBk,Smote,None,265.0,29.0,122.0,30.0,0.9013605442176871,0.8983050847457628,0.8531260523066562,0.7051124011027186
BookkeeperBugginess.arff,5,64,57,66,NaiveBayes,None,BestFirst,279.0,68.0,83.0,16.0,0.8040345821325648,0.9457627118644067,0.8893029520709395,0.5408936055488837
BookkeeperBugginess.arff,5,64,57,66,RandomForest,None,BestFirst,267.0,32.0,119.0,28.0,0.8929765886287625,0.9050847457627119,0.9225502301043889,0.6976749440766431
BookkeeperBugginess.arff,5,64,57,66,IBk,None,BestFirst,264.0,29.0,122.0,31.0,0.9010238907849829,0.8949152542372881,0.8518464474127287,0.7005974624627983
BookkeeperBugginess.arff,5,64,57,66,NaiveBayes,UnderSampling,BestFirst,274.0,65.0,86.0,21.0,0.8082595870206489,0.9288135593220339,0.8827141093276462,0.5365057882398434
BookkeeperBugginess.arff,5,64,57,66,RandomForest,UnderSampling,BestFirst,260.0,29.0,122.0,35.0,0.8996539792387543,0.8813559322033898,0.8962285329442137,0.6826822598216867
BookkeeperBugginess.arff,5,64,57,66,IBk,UnderSampling,BestFirst,257.0,26.0,125.0,38.0,0.9081272084805654,0.8711864406779661,0.8497137725895162,0.6857010724746196
BookkeeperBugginess.arff,5,64,57,66,NaiveBayes,OverSampling,BestFirst,272.0,63.0,88.0,23.0,0.8119402985074626,0.9220338983050848,0.8557975081378382,0.5397095883835353
BookkeeperBugginess.arff,5,64,57,66,RandomForest,OverSampling,BestFirst,260.0,36.0,115.0,35.0,0.8783783783783784,0.8813559322033898,0.8713323605342912,0.6439862388415443
BookkeeperBugginess.arff,5,64,57,66,IBk,OverSampling,BestFirst,255.0,32.0,119.0,40.0,0.8885017421602788,0.864406779661017,0.819800202042878,0.6441568227654528
BookkeeperBugginess.arff,5,64,57,66,NaiveBayes,Smote,BestFirst,271.0,58.0,93.0,24.0,0.8237082066869301,0.9186440677966101,0.8958693456055674,0.5656222533672234
BookkeeperBugginess.arff,5,64,57,66,RandomForest,Smote,BestFirst,264.0,29.0,122.0,31.0,0.9010238907849829,0.8949152542372881,0.9243910652149512,0.7005974624627983
BookkeeperBugginess.arff,5,64,57,66,IBk,Smote,BestFirst,264.0,29.0,122.0,31.0,0.9010238907849829,0.8949152542372881,0.8532270737456504,0.7005974624627983
BookkeeperBugginess.arff,6,78,59,72,NaiveBayes,None,None,35.0,9.0,172.0,438.0,0.7954545454545454,0.07399577167019028,0.878330393748613,0.014017147058625149
BookkeeperBugginess.arff,6,78,59,72,RandomForest,None,None,443.0,30.0,151.0,30.0,0.9365750528541226,0.9365750528541226,0.9643103267027204,0.7708291965005314
BookkeeperBugginess.arff,6,78,59,72,IBk,None,None,444.0,28.0,153.0,29.0,0.940677966101695,0.9386892177589852,0.8610432994989079,0.7826583798784966
BookkeeperBugginess.arff,6,78,59,72,NaiveBayes,UnderSampling,None,36.0,11.0,170.0,437.0,0.7659574468085106,0.07610993657505286,0.85173396563606,0.008883085603718264
BookkeeperBugginess.arff,6,78,59,72,RandomForest,UnderSampling,None,425.0,24.0,157.0,48.0,0.9465478841870824,0.8985200845665962,0.9510588345227944,0.7358079827642312
BookkeeperBugginess.arff,6,78,59,72,IBk,UnderSampling,None,427.0,26.0,155.0,46.0,0.9426048565121413,0.9027484143763214,0.8497774870638805,0.734065263799939
BookkeeperBugginess.arff,6,78,59,72,NaiveBayes,OverSampling,None,31.0,7.0,174.0,442.0,0.8157894736842105,0.06553911205073996,0.8886500881875417,0.015423509451928958
BookkeeperBugginess.arff,6,78,59,72,RandomForest,OverSampling,None,425.0,23.0,158.0,48.0,0.9486607142857143,0.8985200845665962,0.945481410533447,0.7399034314329564
BookkeeperBugginess.arff,6,78,59,72,IBk,OverSampling,None,427.0,23.0,158.0,46.0,0.9488888888888889,0.9027484143763214,0.8722039877121465,0.7464005125265535
BookkeeperBugginess.arff,6,78,59,72,NaiveBayes,Smote,None,34.0,9.0,172.0,439.0,0.7906976744186046,0.07188160676532769,0.8653767535304218,0.01278362186895605
BookkeeperBugginess.arff,6,78,59,72,RandomForest,Smote,None,437.0,18.0,163.0,36.0,0.9604395604395605,0.9238900634249472,0.9701330405429082,0.7998889405151801
BookkeeperBugginess.arff,6,78,59,72,IBk,Smote,None,444.0,28.0,153.0,29.0,0.940677966101695,0.9386892177589852,0.8610432994989079,0.7826583798784966
BookkeeperBugginess.arff,6,78,59,72,NaiveBayes,None,BestFirst,448.0,78.0,103.0,25.0,0.8517110266159695,0.9471458773784355,0.9470173922184715,0.5674991974317817
BookkeeperBugginess.arff,6,78,59,72,RandomForest,None,BestFirst,446.0,55.0,126.0,27.0,0.8902195608782435,0.9429175475687104,0.9617172625652646,0.6710947562097517
BookkeeperBugginess.arff,6,78,59,72,IBk,None,BestFirst,440.0,9.0,172.0,33.0,0.9799554565701559,0.9302325581395349,0.9442900026865079,0.8458879899458017
BookkeeperBugginess.arff,6,78,59,72,NaiveBayes,UnderSampling,BestFirst,436.0,72.0,109.0,37.0,0.8582677165354331,0.9217758985200846,0.9290878721689463,0.5572463138019702
BookkeeperBugginess.arff,6,78,59,72,RandomForest,UnderSampling,BestFirst,431.0,55.0,126.0,42.0,0.8868312757201646,0.9112050739957717,0.9480803149054466,0.6211073284357643
BookkeeperBugginess.arff,6,78,59,72,IBk,UnderSampling,BestFirst,424.0,9.0,172.0,49.0,0.9792147806004619,0.8964059196617337,0.9282001565182858,0.7926147857369359
BookkeeperBugginess.arff,6,78,59,72,NaiveBayes,OverSampling,BestFirst,429.0,71.0,110.0,44.0,0.858,0.9069767441860465,0.9201931949587095,0.5395550440180724
BookkeeperBugginess.arff,6,78,59,72,RandomForest,OverSampling,BestFirst,431.0,56.0,125.0,42.0,0.8850102669404517,0.9112050739957717,0.9356522957961991,0.6165324462420275
BookkeeperBugginess.arff,6,78,59,72,IBk,OverSampling,BestFirst,424.0,11.0,170.0,49.0,0.9747126436781609,0.8964059196617337,0.9268627428077512,0.7847763846381677
BookkeeperBugginess.arff,6,78,59,72,NaiveBayes,Smote,BestFirst,435.0,69.0,112.0,38.0,0.8630952380952381,0.919661733615222,0.935529650870779,0.568500499463539
BookkeeperBugginess.arff,6,78,59,72,RandomForest,Smote,BestFirst,438.0,3.0,178.0,35.0,0.9931972789115646,0.9260042283298098,0.9638139067664957,0.8623691643130087
BookkeeperBugginess.arff,6,78,59,72,IBk,Smote,BestFirst,440.0,9.0,172.0,33.0,0.9799554565701559,0.9302325581395349,0.9456974992115683,0.8458879899458017
